id,Danceability
17170,4.0
17171,4.0
17172,4.0
17173,4.0
17174,6.0
17175,5.0
17176,4.0
17177,5.0
17178,4.0
17179,5.0
17180,5.0
17181,4.0
17182,4.0
17183,4.0
17184,5.0
17185,4.0
17186,4.0
17187,5.0
17188,4.0
17189,5.0
17190,4.0
17191,6.0
17192,6.0
17193,4.0
17194,6.0
17195,4.0
17196,6.0
17197,4.0
17198,4.0
17199,4.0
17200,4.0
17201,4.0
17202,6.0
17203,4.0
17204,4.0
17205,4.0
17206,5.0
17207,4.0
17208,5.0
17209,5.0
17210,5.0
17211,4.0
17212,4.0
17213,5.0
17214,5.0
17215,6.0
17216,4.0
17217,4.0
17218,4.0
17219,3.0
17220,4.0
17221,4.0
17222,4.0
17223,5.0
17224,5.0
17225,5.0
17226,4.0
17227,4.0
17228,5.0
17229,4.0
17230,5.0
17231,5.0
17232,5.0
17233,4.0
17234,4.0
17235,4.0
17236,4.0
17237,4.0
17238,4.0
17239,4.0
17240,4.0
17241,4.0
17242,4.0
17243,5.0
17244,6.0
17245,5.0
17246,4.0
17247,3.0
17248,3.0
17249,4.0
17250,4.0
17251,4.0
17252,4.0
17253,4.0
17254,5.0
17255,6.0
17256,4.0
17257,5.0
17258,5.0
17259,4.0
17260,5.0
17261,6.0
17262,5.0
17263,4.0
17264,4.0
17265,4.0
17266,4.0
17267,5.0
17268,5.0
17269,4.0
17270,5.0
17271,6.0
17272,6.0
17273,5.0
17274,4.0
17275,3.0
17276,6.0
17277,5.0
17278,4.0
17279,4.0
17280,6.0
17281,4.0
17282,5.0
17283,5.0
17284,6.0
17285,4.0
17286,4.0
17287,4.0
17288,5.0
17289,5.0
17290,5.0
17291,6.0
17292,5.0
17293,4.0
17294,4.0
17295,4.0
17296,4.0
17297,4.0
17298,4.0
17299,4.0
17300,4.0
17301,4.0
17302,4.0
17303,5.0
17304,4.0
17305,4.0
17306,4.0
17307,3.0
17308,4.0
17309,3.0
17310,4.0
17311,4.0
17312,4.0
17313,5.0
17314,5.0
17315,5.0
17316,5.0
17317,4.0
17318,5.0
17319,5.0
17320,5.0
17321,4.0
17322,4.0
17323,4.0
17324,5.0
17325,4.0
17326,4.0
17327,4.0
17328,3.0
17329,4.0
17330,4.0
17331,4.0
17332,4.0
17333,4.0
17334,5.0
17335,5.0
17336,4.0
17337,5.0
17338,5.0
17339,5.0
17340,4.0
17341,4.0
17342,4.0
17343,4.0
17344,4.0
17345,4.0
17346,4.0
17347,4.0
17348,4.0
17349,4.0
17350,4.0
17351,4.0
17352,6.0
17353,6.0
17354,4.0
17355,5.0
17356,4.0
17357,5.0
17358,5.0
17359,5.0
17360,5.0
17361,6.0
17362,6.0
17363,4.0
17364,6.0
17365,4.0
17366,4.0
17367,4.0
17368,4.0
17369,5.0
17370,5.0
17371,4.0
17372,4.0
17373,4.0
17374,4.0
17375,5.0
17376,4.0
17377,4.0
17378,5.0
17379,4.0
17380,5.0
17381,4.0
17382,4.0
17383,5.0
17384,4.0
17385,3.0
17386,5.0
17387,4.0
17388,4.0
17389,4.0
17390,6.0
17391,4.0
17392,4.0
17393,4.0
17394,5.0
17395,5.0
17396,5.0
17397,3.0
17398,4.0
17399,6.0
17400,5.0
17401,5.0
17402,4.0
17403,3.0
17404,6.0
17405,5.0
17406,4.0
17407,4.0
17408,4.0
17409,4.0
17410,4.0
17411,5.0
17412,5.0
17413,6.0
17414,5.0
17415,5.0
17416,5.0
17417,4.0
17418,4.0
17419,5.0
17420,5.0
17421,4.0
17422,4.0
17423,4.0
17424,5.0
17425,4.0
17426,5.0
17427,4.0
17428,4.0
17429,5.0
17430,5.0
17431,4.0
17432,4.0
17433,4.0
17434,5.0
17435,4.0
17436,4.0
17437,5.0
17438,3.0
17439,5.0
17440,4.0
17441,4.0
17442,4.0
17443,4.0
17444,5.0
17445,5.0
17446,4.0
17447,4.0
17448,4.0
17449,4.0
17450,4.0
17451,4.0
17452,4.0
17453,4.0
17454,4.0
17455,4.0
17456,4.0
17457,4.0
17458,4.0
17459,4.0
17460,4.0
17461,4.0
17462,5.0
17463,4.0
17464,4.0
17465,4.0
17466,4.0
17467,4.0
17468,3.0
17469,4.0
17470,4.0
17471,4.0
17472,4.0
17473,4.0
17474,4.0
17475,4.0
17476,6.0
17477,4.0
17478,4.0
17479,4.0
17480,4.0
17481,4.0
17482,4.0
17483,4.0
17484,4.0
17485,4.0
17486,4.0
17487,4.0
17488,4.0
17489,4.0
17490,6.0
17491,4.0
17492,4.0
17493,4.0
17494,4.0
17495,4.0
17496,4.0
17497,4.0
17498,4.0
17499,4.0
17500,5.0
17501,4.0
17502,4.0
17503,4.0
17504,3.0
17505,4.0
17506,5.0
17507,5.0
17508,4.0
17509,5.0
17510,5.0
17511,4.0
17512,4.0
17513,5.0
17514,5.0
17515,4.0
17516,4.0
17517,4.0
17518,5.0
17519,4.0
17520,4.0
17521,4.0
17522,4.0
17523,4.0
17524,4.0
17525,4.0
17526,4.0
17527,4.0
17528,4.0
17529,3.0
17530,3.0
17531,4.0
17532,4.0
17533,4.0
17534,4.0
17535,4.0
17536,4.0
17537,4.0
17538,4.0
17539,5.0
17540,4.0
17541,5.0
17542,3.0
17543,4.0
17544,5.0
17545,4.0
17546,5.0
17547,4.0
17548,4.0
17549,4.0
17550,6.0
17551,4.0
17552,4.0
17553,5.0
17554,5.0
17555,4.0
17556,5.0
17557,5.0
17558,5.0
17559,5.0
17560,5.0
17561,5.0
17562,6.0
17563,3.0
17564,5.0
17565,4.0
17566,5.0
17567,3.0
17568,5.0
17569,4.0
17570,5.0
17571,5.0
17572,3.0
